theta_min_deg,theta_max_deg,scope,z_mm,total_points,ok_points,ik_reject,fk_fail,roundtrip_error_exceeded,arm1_angle_out_of_range,arm2_angle_out_of_range,arm3_angle_out_of_range,max_roundtrip_error_mm,avg_roundtrip_error_mm,max_fk_iterations
0.0,90.0,ALL,ALL,507,357,150,0,0,54,49,49,1.0165308595985789e-09,5.483952342253377e-11,5
0.0,90.0,Z_SLICE,-265.0,169,66,103,0,0,,,,,,
0.0,90.0,Z_SLICE,-260.0,169,128,41,0,0,,,,,,
0.0,90.0,Z_SLICE,-255.0,169,163,6,0,0,,,,,,
-5.0,90.0,ALL,ALL,507,503,4,0,0,0,2,2,1.0165308595985789e-09,4.8333061379602514e-11,5
-5.0,90.0,Z_SLICE,-265.0,169,165,4,0,0,,,,,,
-5.0,90.0,Z_SLICE,-260.0,169,169,0,0,0,,,,,,
-5.0,90.0,Z_SLICE,-255.0,169,169,0,0,0,,,,,,
-10.0,90.0,ALL,ALL,507,507,0,0,0,0,0,0,1.0165308595985789e-09,4.8317268124682925e-11,5
-10.0,90.0,Z_SLICE,-265.0,169,169,0,0,0,,,,,,
-10.0,90.0,Z_SLICE,-260.0,169,169,0,0,0,,,,,,
-10.0,90.0,Z_SLICE,-255.0,169,169,0,0,0,,,,,,
-15.0,90.0,ALL,ALL,507,507,0,0,0,0,0,0,1.0165308595985789e-09,4.8317268124682925e-11,5
-15.0,90.0,Z_SLICE,-265.0,169,169,0,0,0,,,,,,
-15.0,90.0,Z_SLICE,-260.0,169,169,0,0,0,,,,,,
-15.0,90.0,Z_SLICE,-255.0,169,169,0,0,0,,,,,,
